Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
291616,Dy4Ir19Na1P2Si10,c1f1a006e2,NaDy4Si10P2Ir19,"['Na', 'Si', 'P', 'Dy', 'Ir']",36,563.6501,13.7519,mm2,Amm2,38,orthorhombic,-285.3409,-0.905,-0.1315,,,,0.0,,-0.1315,-0.1021
292587,Na4Rb4Si8Te20,c29b9c2ac1,RbNaSi2Te5,"['Na', 'Si', 'Rb', 'Te']",36,1420.8066,3.7522,mmm,Cmcm,63,orthorhombic,-140.2429,-0.6873,-0.0622,,,,0.0,,-0.0622,-0.0161
293445,Na12Pt8Si8,c3313ea35e,Na3(SiPt)2,"['Na', 'Si', 'Pt']",28,595.3958,5.7487,mmm,Pbcm,57,orthorhombic,-120.8334,-0.464,-0.0845,,0.0091,,-0.0,,-0.0826,-0.0044
294666,Ir10Na1Si10Sr4,c3fc8e91c2,NaSr4(SiIr)10,"['Na', 'Si', 'Sr', 'Ir']",25,445.3283,9.6072,4/m,I4/m,87,tetragonal,-171.1775,-0.8184,-0.2572,,0.0073,,0.0,,-0.257,-0.0245
294815,Cs4Na4Se8Si2,c414db2011,Cs2Na2SiSe4,"['Na', 'Si', 'Se', 'Cs']",18,681.3096,3.1963,4/mmm,P4_2/mcm,132,tetragonal,-69.9806,-1.2384,-0.0064,,2.0315,,0.0,,-0.0064,-0.0059
295376,Fe3Li4Na8O60Si24V1,c46d42c01b,Na8Li4VFe3(Si2O5)12,"['Li', 'O', 'Na', 'Si', 'V', 'Fe']",100,1278.7234,2.6805,2,C2,5,monoclinic,-776.5131,-2.9672,-0.0028,,,,0.0,,-0.0028,-0.001
296048,Ir16Na5Rh3Si12,c4dfe64e49,Na5Si12Ir16Rh3,"['Na', 'Si', 'Rh', 'Ir']",36,564.1721,11.2911,-6m2,P-62m,189,hexagonal,-256.511,-0.5913,-0.0757,,0.0026,,0.0,,-0.0751,-0.0676
296227,Ge1Na8P12Rb12Si3,c4fca9e576,Rb12Na8Si3GeP12,"['Na', 'Si', 'P', 'Ge', 'Rb']",36,1020.6364,2.8278,2,C2,5,monoclinic,-121.8001,-0.3776,-0.0508,,0.9103,,0.0,,-0.0508,-0.0075
297032,Na1Pt6Si10U3,c58730c160,NaU3(Si5Pt3)2,"['Na', 'Si', 'Pt', 'U']",20,346.3275,10.4929,m,Cm,8,monoclinic,-138.4203,-0.6272,-0.0407,,0.0001,,0.0,,-0.0405,-0.0218
298004,Au2Er1Na1Si2,c62ef15384,NaEr(SiAu)2,"['Na', 'Si', 'Er', 'Au']",6,117.2789,9.0667,mm2,Imm2,44,orthorhombic,-26.5483,-0.5433,-0.0767,,0.0222,,0.0,,-0.0767,-0.0216
298704,Bi2Na1Si4Sr9,c6a3fd93c7,NaSr9(Si2Bi)2,"['Na', 'Si', 'Sr', 'Bi']",16,544.7568,4.0903,4/m,I4/m,87,tetragonal,-55.0135,-0.5628,-0.0391,,0.0521,,0.0,,-0.0388,-0.0379
299363,Na4Se6Si2Sn1,c716526f04,Na4Si2SnSe6,"['Na', 'Si', 'Se', 'Sn']",13,334.8924,3.6722,2,C2,5,monoclinic,-54.7177,-1.0455,-0.0311,,1.6762,,0.0,,-0.0311,-0.0305
300059,Er3Ir19Na2P1Si11,c78d7afe73,Na2Er3Si11PIr19,"['Na', 'Si', 'P', 'Er', 'Ir']",36,563.6729,13.3739,mm2,Amm2,38,orthorhombic,-278.812,-0.8178,-0.0679,,0.003,,0.0,,-0.0679,-0.0616
300136,Li5Na3P12Rb12Si4,c79a412840,Rb12Na3Li5(SiP3)4,"['Li', 'Na', 'Si', 'P', 'Rb']",36,948.2309,2.8252,2,C2,5,monoclinic,-128.4218,-0.4578,-0.095,,1.2316,,-0.0,,-0.095,-0.0114
300497,Ba4Ge1Na8Si15,c7d7d49366,Ba4Na8Si15Ge,"['Na', 'Si', 'Ge', 'Ba']",28,744.6176,2.7366,m,Cm,8,monoclinic,-109.0198,-0.17,-0.0245,,0.9842,,0.0,,-0.0233,-0.0227
301353,Ga1Na3Pt4Si3,c872fc19aa,Na3GaSi3Pt4,"['Na', 'Si', 'Ga', 'Pt']",11,216.849,7.6827,3m,R3m,160,trigonal,-54.0491,-0.5904,-0.1112,,0.0159,,0.0,,-0.11,-0.0179
301551,Na8P12Rb12Si4,c893f9e248,Rb3Na2SiP3,"['Na', 'Si', 'P', 'Rb']",36,1018.2124,2.7619,mmm,Cmce,64,orthorhombic,-122.7835,-0.3827,-0.0726,,0.9791,,0.0,,-0.0726,-0.0051
302556,Ir19Na5Si12,c940e18b43,Na5Si12Ir19,"['Na', 'Si', 'Ir']",36,562.7747,12.1097,-6m2,P-62m,189,hexagonal,-259.7401,-0.5582,-0.0749,,0.004,,0.0,,-0.0743,-0.0652
302808,Na16P8Si1Sn1,c96bbdf9e8,Na16SiSnP8,"['Na', 'Si', 'P', 'Sn']",26,622.795,2.0328,-43m,F-43m,216,cubic,-83.6635,-0.3755,-0.0044,,0.5153,,0.0,,-0.0044,-0.0032
302875,In4Na4O16Si4,c976c68ebd,NaInSiO4,"['O', 'Na', 'Si', 'In']",28,351.7737,4.3408,mmm,Pnma,62,orthorhombic,-189.6884,-2.5901,-0.0095,,2.7208,,0.0,,-0.0095,-0.0094
304347,Dy2Na2Ni1Pt5Si10,ca664ad730,Na2Dy2Si10NiPt5,"['Na', 'Si', 'Ni', 'Dy', 'Pt']",20,337.5721,8.2933,2,C2,5,monoclinic,-116.1643,-0.6959,-0.0336,,0.007,,0.0,,-0.0331,-0.0143
304598,Ga2Na3Pt4Si2,ca91463567,Na3Ga2(SiPt2)2,"['Na', 'Si', 'Ga', 'Pt']",11,221.4186,7.8364,mm2,Fmm2,42,orthorhombic,-51.663,-0.5914,-0.1171,,0.0079,,0.0,,-0.1159,-0.0302
305348,B8Na6Pt16Rh2Si2,cb10ba8d42,Na3SiB4Pt8Rh,"['B', 'Na', 'Si', 'Rh', 'Pt']",34,503.6427,11.895,mmm,Cmcm,63,orthorhombic,-200.3915,-0.4796,-0.0198,,0.0048,,0.0,,-0.0196,-0.013
307158,Ca1Ir19Na4Si12,cc4b65ba47,Na4CaSi12Ir19,"['Na', 'Si', 'Ca', 'Ir']",36,564.713,12.1184,-6,P-6,174,hexagonal,-262.3897,-0.6128,-0.0919,,,,0.0,,-0.0914,-0.0723
308990,Na3Rb4Se20Si8Tl1,cd78d3159f,Rb4Na3Tl(Si2Se5)4,"['Na', 'Si', 'Se', 'Rb', 'Tl']",36,1169.0999,3.436,2,C2,5,monoclinic,-160.5999,-1.0286,-0.0157,,2.2615,,0.0,,-0.0157,-0.0156
309952,Na1Si16Tb7W12,ce1b5cc457,NaTb7(Si4W3)4,"['Na', 'Si', 'Tb', 'W']",36,608.9068,10.3381,1,P1,1,triclinic,-292.9518,-0.4691,-0.0326,,0.0029,,-0.0,,-0.0325,-0.0322
311194,Na4Pt4Si2,ceeed04cdc,Na2SiPt2,"['Na', 'Si', 'Pt']",10,203.676,7.5696,2/m,C2/c,15,monoclinic,-45.6641,-0.524,-0.0957,,0.0121,,0.0,,-0.094,-0.0553
311371,Na1Rh6Si14Th1,cf0f7def27,NaTh(Si7Rh3)2,"['Na', 'Si', 'Rh', 'Th']",22,341.2595,6.1586,-3,R-3,148,trigonal,-141.3497,-0.567,-0.0051,,0.0073,,0.0,,-0.0049,-0.0048
311439,Er7Na1Pt4Si12,cf1b31bf97,NaEr7(Si3Pt)4,"['Na', 'Si', 'Er', 'Pt']",24,466.6255,8.2245,6/mmm,P6/mmm,191,hexagonal,-143.4296,-0.8644,-0.0649,,0.0037,,-0.0,,-0.0648,-0.0026
311931,As3Na4P9Si12,cf67df7a29,Na4Si12(AsP3)3,"['Na', 'Si', 'P', 'As']",28,633.0207,2.4462,m,Pm,6,monoclinic,-139.909,-0.2435,-0.0457,,1.4394,,0.0,,-0.0457,-0.0196
312141,Ir19Na4Pa1Si12,cf8d16ee88,Na4PaSi12Ir19,"['Na', 'Si', 'Ir', 'Pa']",36,565.0499,12.6723,mm2,Amm2,38,orthorhombic,-271.1429,-0.6468,-0.075,,,,0.0,,-0.075,-0.0661
312465,Li8Na12P12Si2Sn2,cfc3a26bec,Na6Li4SiSnP6,"['Li', 'Na', 'Si', 'P', 'Sn']",36,715.6483,2.3126,222,C222_1,20,orthorhombic,-132.9062,-0.4982,-0.0269,,1.302,,0.0,,-0.0269,-0.0207
314239,Na4S6Si2Yb1,d0f652d2a2,Na4Yb(SiS3)2,"['Na', 'Si', 'S', 'Yb']",13,289.1607,2.9492,2,C2,5,monoclinic,-61.4675,-1.4591,-0.0986,,3.3037,,0.0,,-0.0986,-0.0452
